Lens Quality,Radius,Thickness,Mold,Length,Curve,Time1,Cure,Energy ,Post_energy,TDose,Shower,TDose 2,"New_shower""",4004,4010,3secT,Holding,Flow,LowTemp,Pressure,Short Time,Aid1G,Aid2g,FSg,MSg,MSBCg
8.579,1.111,0.230,2,14.096,8.464,31.1,329.0,1743.4,14563.75,89.44,1785.05,89.50,1529.35,44.96,43.90,1731.7,0.289999992,10.30000019,0.849999964,625,0.269999981,0.2450,0.2744,2.0708,0.9774,1.0934
8.624,1.111,0.230,3,14.097,8.469,32.1,313.9,1663.4,14545.25,89.46,1819.60,89.52,1526.30,44.99,43.95,1702.0,0.289999992,10.30000019,0.849999964,625,0.269999981,0.2448,0.2734,2.0708,0.9774,1.0934
8.640,1.116,0.232,4,14.083,8.466,34.2,340.6,1805.2,14575.50,89.40,1707.75,89.51,1530.20,44.98,44.02,1719.8,0.289999992,10.30000019,0.849999964,625,0.269999981,0.2432,0.2729,2.0708,0.9774,1.0934
8.519,1.102,0.229,1,14.102,8.467,30.7,295.2,1564.3,14532.95,89.26,1603.50,88.53,1970.50,45.54,44.80,1481.8,0.280000001,10.59999943,0.799999952,600,0.259999991,0.2445,0.2726,2.0698,0.9785,1.0914
8.578,1.110,0.230,2,14.110,8.478,29.4,292.8,1551.8,14528.00,89.28,1607.65,88.50,1980.95,45.53,44.74,1480.9,0.280000001,10.59999943,0.799999952,600,0.259999991,0.2455,0.2741,2.0698,0.9785,1.0914
8.598,1.114,0.230,3,14.115,8.485,29.8,294.4,1560.1,14532.15,89.27,1611.20,88.51,1977.45,45.54,44.76,1481.2,0.280000001,10.59999943,0.799999952,600,0.259999991,0.2453,0.2728,2.0698,0.9785,1.0914
8.633,1.116,0.231,4,14.104,8.474,31.4,296.8,1573.0,14531.80,89.28,1624.60,88.49,1978.60,45.52,44.71,1477.9,0.280000001,10.59999943,0.799999952,600,0.259999991,0.2433,0.2719,2.0698,0.9785,1.0914
8.584,1.106,0.230,1,14.075,8.435,31.0,346.7,1837.5,14563.95,89.24,1535.90,89.25,1648.75,45.25,44.57,1616.2,0.289999992,10.30000019,0.849999964,625,0.269999981,0.2430,0.2726,2.0649,0.9737,1.0912
8.626,1.111,0.231,2,14.081,8.446,30.1,323.4,1714.0,14549.90,89.21,1495.95,89.36,1633.20,45.38,44.45,1653.1,0.289999992,10.30000019,0.849999964,625,0.269999981,0.2442,0.2741,2.0649,0.9737,1.0912
8.692,1.113,0.228,3,14.080,8.449,30.6,340.4,1804.1,14555.35,89.24,1523.70,89.24,1658.95,45.24,44.53,1638.5,0.289999992,10.30000019,0.849999964,625,0.269999981,0.2443,0.2727,2.0649,0.9737,1.0912
8.693,1.116,0.229,4,14.073,8.444,29.4,313.7,1662.3,14542.80,89.23,1518.60,89.25,1656.75,45.36,44.52,1633.3,0.289999992,10.30000019,0.849999964,625,0.269999981,0.2422,0.2718,2.0649,0.9737,1.0912
8.504,1.103,0.229,1,14.099,8.457,28.1,405.0,2146.5,14583.20,89.36,1958.20,88.21,1819.95,44.92,42.55,1994.8,0.299999982,10,0.849999964,600,0.280000001,0.2418,0.2723,2.0605,0.9712,1.0893
8.558,1.111,0.229,2,14.103,8.465,28.0,378.9,2008.2,14603.05,89.40,1843.00,88.02,1905.35,44.80,42.37,2033.4,0.299999982,10,0.849999964,600,0.280000001,0.2440,0.2740,2.0605,0.9712,1.0893
8.538,1.105,0.228,3,14.104,8.470,27.3,408.7,2166.1,14603.40,89.33,1960.55,88.17,1836.25,45.08,42.74,1914.7,0.299999982,10,0.849999964,600,0.280000001,0.2433,0.2722,2.0605,0.9712,1.0893
8.564,1.109,0.232,4,14.105,8.469,27.4,422.4,2238.5,14621.80,89.39,1877.80,87.93,1943.20,44.96,42.51,1953.2,0.299999982,10,0.849999964,600,0.280000001,0.2421,0.2708,2.0605,0.9712,1.0893
8.518,1.103,0.229,1,14.102,8.463,27.8,313.1,1659.2,14544.32,89.13,1700.74,88.97,1591.53,45.86,43.78,1698.2,0.280000001,10,0.899999976,600,0.259999991,0.2427,0.2729,2.0649,0.9738,1.0911
8.548,1.107,0.229,2,14.095,8.455,28.9,322.8,1710.6,14551.35,89.15,1617.50,88.95,1605.15,45.86,43.85,1698.7,0.280000001,10,0.899999976,600,0.259999991,0.2440,0.2740,2.0649,0.9738,1.0911
8.554,1.106,0.229,3,14.106,8.476,28.3,309.7,1641.1,14541.20,89.16,1619.90,88.95,1609.95,45.86,43.84,1698.3,0.280000001,10,0.899999976,600,0.259999991,0.2446,0.2725,2.0649,0.9738,1.0911
8.591,1.114,0.232,4,14.103,8.479,28.4,316.5,1677.6,14540.71,89.16,1577.76,88.94,1615.62,45.86,43.87,1686.7,0.280000001,10,0.899999976,600,0.259999991,0.2426,0.2718,2.0649,0.9738,1.0911
